index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S15_D14 hbo]:Condition[V],1.6649107344445697e-08,8.546280684303892e-08,0.19481114603482969,0.8455407961951215,-1.508549160856139e-07,1.8415313077450532e-07,S15_D14 hbo,V,False,0.9961529137320693,False
ch_name[S15_D25 hbo]:Condition[V],9.066066124531543e-08,8.54628068430389e-08,1.0608200759404371,0.288771676734763,-7.684336218474413e-08,2.5816468467537497e-07,S15_D25 hbo,V,False,0.9165904054314674,False
ch_name[S16_D14 hbo]:Condition[V],6.764692648842832e-08,8.54628068430389e-08,0.7915364471081409,0.42863101630081746,-9.985709694163124e-08,2.351509499184879e-07,S16_D14 hbo,V,False,0.9165904054314674,False
ch_name[S16_D25 hbo]:Condition[V],1.3306903700109054e-07,8.546280684303888e-08,1.557040330368336,0.11946091039343425,-3.443498642896899e-08,3.005730604311501e-07,S16_D25 hbo,V,False,0.702123103135983,False
ch_name[S16_D26 hbo]:Condition[V],1.2758722745509714e-07,8.546280684303891e-08,1.4928976962975717,0.13546396826808368,-3.991679597496245e-08,2.950912508851567e-07,S16_D26 hbo,V,False,0.702123103135983,False
ch_name[S16_D27 hbo]:Condition[V],9.835149373701907e-08,8.54628068430389e-08,1.150810479670432,0.24981021251018432,-6.915252969304049e-08,2.6585551716707864e-07,S16_D27 hbo,V,False,0.8752826851261408,False
ch_name[S16_D32 hbo]:Condition[V],2.449469845339578e-07,3.062948759639191e-07,0.7997097038045523,0.42387900940746426,-3.553799410044868e-07,8.452739100724025e-07,S16_D32 hbo,V,False,0.9165904054314674,False
ch_name[S17_D13 hbo]:Condition[V],1.1500490479116488e-07,8.54628068430389e-08,1.3456719833972108,0.17840832558597208,-5.249911863889468e-08,2.8250892822122445e-07,S17_D13 hbo,V,False,0.8526527768264639,False
ch_name[S17_D14 hbo]:Condition[V],1.8954008779577254e-07,8.546280684303888e-08,2.2178078955899747,0.0265679335500196,2.2036064365713007e-08,3.5704411122583207e-07,S17_D14 hbo,V,True,0.46857567370066106,False
ch_name[S17_D27 hbo]:Condition[V],-6.2767021966894e-08,8.546280684303888e-08,-0.7344367015954907,0.4626826252341578,-2.3027104539695354e-07,1.0473700146316553e-07,S17_D27 hbo,V,False,0.9165904054314674,False
ch_name[S18_D26 hbo]:Condition[V],1.6560510684156696e-07,8.54628068430389e-08,1.9377447682676456,0.05265436916613641,-1.8989165884926e-09,3.3310913027162654e-07,S18_D26 hbo,V,False,0.5329195547167166,False
ch_name[S18_D27 hbo]:Condition[V],3.782655819182051e-08,8.546280684303891e-08,0.4426084233495023,0.6580489910057018,-1.2967746523823908e-07,2.053305816218801e-07,S18_D27 hbo,V,False,0.9628539900786605,False
ch_name[S19_D33 hbo]:Condition[V],-2.713539228851092e-07,3.062948759639191e-07,-0.8859238080008696,0.3756585858272462,-8.716808484235538e-07,3.289730026533354e-07,S19_D33 hbo,V,False,0.9165904054314674,False
ch_name[S19_D4 hbo]:Condition[V],-7.776834369063052e-09,8.546280684303891e-08,-0.09099671139219655,0.92749520414541,-1.7528085779912265e-07,1.5972718906099652e-07,S19_D4 hbo,V,False,0.9961529137320693,False
ch_name[S19_D6 hbo]:Condition[V],4.812552714055516e-08,8.54628068430389e-08,0.5631166225202803,0.573355473193355,-1.193784962895044e-07,2.1562955057061472e-07,S19_D6 hbo,V,False,0.9441133410853934,False
ch_name[S19_D8 hbo]:Condition[V],-3.897498238415729e-08,8.546280684303891e-08,-0.45604613075415124,0.6483568060884513,-2.0647900581421688e-07,1.285290410459023e-07,S19_D8 hbo,V,False,0.9628539900786605,False
ch_name[S1_D2 hbo]:Condition[V],-8.508943978966354e-08,8.54628068430389e-08,-0.9956312334316251,0.319429353354426,-2.5259346321972313e-07,8.241458364039601e-08,S1_D2 hbo,V,False,0.9165904054314674,False
ch_name[S1_D4 hbo]:Condition[V],-2.873540946853162e-07,8.546280684303888e-08,-3.362329243562889,0.0007728791059046514,-4.548581181153757e-07,-1.1985007125525668e-07,S1_D4 hbo,V,True,0.07110487774322793,False
ch_name[S20_D3 hbo]:Condition[V],6.310489019066242e-08,8.54628068430389e-08,0.7383900964844385,0.4602774309650012,-1.0439913323939713e-07,2.30608913620722e-07,S20_D3 hbo,V,False,0.9165904054314674,False
ch_name[S20_D5 hbo]:Condition[V],4.6590526893989745e-08,8.546280684303891e-08,0.5451555900750833,0.5856465122897514,-1.2091349653606983e-07,2.1409455032404934e-07,S20_D5 hbo,V,False,0.9441133410853934,False
ch_name[S20_D6 hbo]:Condition[V],2.7893893397808038e-08,8.546280684303891e-08,0.3263863477949887,0.7441320653698136,-1.3961013003225153e-07,1.9539791682786764e-07,S20_D6 hbo,V,False,0.9924899476922217,False
ch_name[S20_D7 hbo]:Condition[V],-9.499140013726833e-09,8.546280684303888e-08,-0.11114940363675356,0.9114978729769363,-1.7700316344378636e-07,1.580048834163327e-07,S20_D7 hbo,V,False,0.9961529137320693,False
ch_name[S21_D10 hbo]:Condition[V],-7.608934832246877e-08,8.54628068430389e-08,-0.8903211950692723,0.37329344349067817,-2.4359337175252834e-07,9.141467510759079e-08,S21_D10 hbo,V,False,0.9165904054314674,False
ch_name[S21_D6 hbo]:Condition[V],-3.2330576095120506e-09,8.546280684303891e-08,-0.03782999563131466,0.969823228428214,-1.7073708103957164e-07,1.6427096582054753e-07,S21_D6 hbo,V,False,0.9961529137320693,False
ch_name[S21_D7 hbo]:Condition[V],-8.263999675777336e-08,8.546280684303888e-08,-0.9669703091960237,0.3335588764778501,-2.501440201878329e-07,8.486402667228617e-08,S21_D7 hbo,V,False,0.9165904054314674,False
ch_name[S21_D8 hbo]:Condition[V],-6.299168280867216e-08,8.54628068430389e-08,-0.7370654573089644,0.4610825441407824,-2.3049570623873173e-07,1.045123406213874e-07,S21_D8 hbo,V,False,0.9165904054314674,False
ch_name[S22_D5 hbo]:Condition[V],-8.585992576084957e-09,8.54628068430389e-08,-0.10046466870499587,0.9199754311776028,-1.7609001600614452e-07,1.589180308539746e-07,S22_D5 hbo,V,False,0.9961529137320693,False
ch_name[S22_D7 hbo]:Condition[V],6.51046982700326e-09,8.54628068430389e-08,0.07617898437340583,0.9392767021376095,-1.609935536030563e-07,1.7401449325706283e-07,S22_D7 hbo,V,False,0.9961529137320693,False
ch_name[S22_D9 hbo]:Condition[V],-6.009787224228262e-10,8.54628068430389e-08,-0.007032049901269736,0.9943892821944292,-1.6810500215248238e-07,1.6690304470763673e-07,S22_D9 hbo,V,False,0.9961529137320693,False
ch_name[S23_D10 hbo]:Condition[V],-3.213579500360105e-08,8.54628068430389e-08,-0.3760208234515594,0.706901415280629,-1.996398184336606e-07,1.3536822842645851e-07,S23_D10 hbo,V,False,0.9743060704991442,False
ch_name[S23_D12 hbo]:Condition[V],1.0482920810345239e-07,8.546280684303891e-08,1.2266061925157903,0.2199706405999713,-6.26748153266072e-08,2.72333231533512e-07,S23_D12 hbo,V,False,0.8752826851261408,False
ch_name[S23_D8 hbo]:Condition[V],-3.5293421379820426e-09,8.54628068430389e-08,-0.04129681984894361,0.9670592683022997,-1.710333655680416e-07,1.6397468129207752e-07,S23_D8 hbo,V,False,0.9961529137320693,False
ch_name[S24_D10 hbo]:Condition[V],-4.0977160315615105e-08,8.54628068430389e-08,-0.4794736076346499,0.6316017395231974,-2.0848118374567466e-07,1.2652686311444446e-07,S24_D10 hbo,V,False,0.9604522320022175,False
ch_name[S24_D11 hbo]:Condition[V],-3.2415050060859435e-08,8.54628068430389e-08,-0.3792883858868918,0.7044737232120232,-1.99919073490919e-07,1.3508897336920012e-07,S24_D11 hbo,V,False,0.9743060704991442,False
ch_name[S24_D34 hbo]:Condition[V],9.987516262999998e-08,3.062948759639191e-07,0.32607519899146165,0.7443674607691663,-5.004517629084446e-07,7.002020881684446e-07,S24_D34 hbo,V,False,0.9924899476922217,False
ch_name[S24_D7 hbo]:Condition[V],-2.6379541099470798e-09,8.54628068430389e-08,-0.03086669169188358,0.9753758534382312,-1.7014197754000665e-07,1.6486606932011247e-07,S24_D7 hbo,V,False,0.9961529137320693,False
ch_name[S24_D9 hbo]:Condition[V],1.803713178687828e-08,8.546280684303891e-08,0.21105241511673373,0.8328463710446176,-1.494668916431813e-07,1.8554115521693786e-07,S24_D9 hbo,V,False,0.9961529137320693,False
ch_name[S25_D11 hbo]:Condition[V],1.6853065198046683e-07,8.546280684303888e-08,1.9719765615701164,0.0486122822337984,1.0266285504073035e-09,3.3603467541052637e-07,S25_D11 hbo,V,True,0.5329195547167166,False
ch_name[S25_D12 hbo]:Condition[V],1.7997213257790866e-07,8.546280684303888e-08,2.1058532854934864,0.035217098555536674,1.2468109147849126e-08,3.474761560079682e-07,S25_D12 hbo,V,True,0.46857567370066106,False
ch_name[S25_D13 hbo]:Condition[V],1.29754769969427e-07,8.546280684303891e-08,1.518260103576223,0.12894884106495175,-3.774925346063258e-08,2.972587933994866e-07,S25_D13 hbo,V,False,0.702123103135983,False
ch_name[S25_D14 hbo]:Condition[V],1.378712664532701e-07,8.546280684303891e-08,1.6132312001697375,0.10669428737713639,-2.9632756976789474e-08,3.053752898833297e-07,S25_D14 hbo,V,False,0.702123103135983,False
ch_name[S25_D35 hbo]:Condition[V],-3.0785583378946965e-09,3.062948759639191e-07,-0.010050962583707553,0.9919806271554583,-6.034054838763393e-07,5.972483672005499e-07,S25_D35 hbo,V,False,0.9961529137320693,False
ch_name[S26_D12 hbo]:Condition[V],1.4290930533627382e-07,8.546280684303888e-08,1.6721812752855316,0.09448858166640214,-2.459471809378571e-08,3.1041332876633335e-07,S26_D12 hbo,V,False,0.6911774833169617,False
ch_name[S26_D13 hbo]:Condition[V],1.0274423957463405e-07,8.54628068430389e-08,1.2022099831489768,0.2292821824083049,-6.475978385542551e-08,2.702482630046936e-07,S26_D13 hbo,V,False,0.8752826851261408,False
ch_name[S2_D1 hbo]:Condition[V],-4.749285934842809e-08,8.54628068430389e-08,-0.5557137789267037,0.5784065355606337,-2.1499688277848765e-07,1.2001116408163146e-07,S2_D1 hbo,V,False,0.9441133410853934,False
ch_name[S2_D2 hbo]:Condition[V],-3.659083146962812e-08,8.54628068430389e-08,-0.4281491893524032,0.6685425063098713,-2.040948548996877e-07,1.3091319196043142e-07,S2_D2 hbo,V,False,0.9724254637234492,False
ch_name[S2_D28 hbo]:Condition[V],-6.646795701533765e-07,3.062948759639191e-07,-2.1700642822104355,0.03000197654209369,-1.265006495691821e-06,-6.435264461493186e-08,S2_D28 hbo,V,True,0.46857567370066106,False
ch_name[S2_D3 hbo]:Condition[V],5.093463538401642e-08,8.54628068430389e-08,0.5959859881218627,0.5511845873264523,-1.1656938804604314e-07,2.1843865881407597e-07,S2_D3 hbo,V,False,0.9441133410853934,False
ch_name[S3_D2 hbo]:Condition[V],6.838646522534055e-08,8.54628068430389e-08,0.8001897872479103,0.4236008459895143,-9.911755820471901e-08,2.358904886554001e-07,S3_D2 hbo,V,False,0.9165904054314674,False
ch_name[S3_D3 hbo]:Condition[V],6.34337910662255e-08,8.54628068430389e-08,0.7422385644638151,0.4579428069513166,-1.0407023236383406e-07,2.3093781449628506e-07,S3_D3 hbo,V,False,0.9165904054314674,False
ch_name[S3_D4 hbo]:Condition[V],1.4946070511305087e-07,8.54628068430389e-08,1.7488391808561894,0.08031882200002458,-1.8043318317008685e-08,3.1696472854311043e-07,S3_D4 hbo,V,False,0.6288792871491286,False
ch_name[S3_D6 hbo]:Condition[V],6.14366484300028e-08,8.546280684303888e-08,0.7188700055550181,0.47222101894135826,-1.0606737500005673e-07,2.2894067186006234e-07,S3_D6 hbo,V,False,0.9165904054314674,False
ch_name[S4_D1 hbo]:Condition[V],3.224234805129331e-08,8.546280684303888e-08,0.37726760028499473,0.7059747474931648,-1.3526167537876624e-07,1.9974637148135283e-07,S4_D1 hbo,V,False,0.9743060704991442,False
ch_name[S4_D3 hbo]:Condition[V],1.188027330936711e-08,8.546280684303891e-08,0.13901103589057676,0.8894414283426498,-1.5562375012069246e-07,1.793842967394267e-07,S4_D3 hbo,V,False,0.9961529137320693,False
ch_name[S4_D5 hbo]:Condition[V],4.533037033223262e-08,8.54628068430389e-08,0.5304105026118138,0.5958273457468581,-1.2217365309782694e-07,2.1283439376229218e-07,S4_D5 hbo,V,False,0.9441133410853934,False
ch_name[S5_D15 hbo]:Condition[V],-4.397370160729246e-08,8.546280684303892e-08,-0.5145361266691674,0.6068772091350114,-2.1147772503735208e-07,1.2353032182276714e-07,S5_D15 hbo,V,False,0.9441133410853934,False
ch_name[S5_D16 hbo]:Condition[V],-5.953719188051331e-08,8.54628068430389e-08,-0.6966444712008979,0.4860253176591459,-2.2704121531057288e-07,1.0796683154954624e-07,S5_D16 hbo,V,False,0.9172170097362344,False
ch_name[S5_D17 hbo]:Condition[V],-3.218221247005593e-08,8.546280684303891e-08,-0.3765639540620497,0.7064976795701658,-1.996862359001155e-07,1.3532181096000366e-07,S5_D17 hbo,V,False,0.9743060704991442,False
ch_name[S5_D29 hbo]:Condition[V],1.1408314170333101e-07,3.062948759639191e-07,0.3724618028437726,0.7095490463658696,-4.862437838351136e-07,7.144100672417756e-07,S5_D29 hbo,V,False,0.974306153218806,False
ch_name[S6_D16 hbo]:Condition[V],2.4842925158700406e-08,8.546280684303888e-08,0.29068697924147235,0.7712907308528809,-1.4266109827135912e-07,1.9234694858875994e-07,S6_D16 hbo,V,False,0.9961529137320693,False
ch_name[S6_D18 hbo]:Condition[V],1.4709501679728249e-08,8.546280684303891e-08,0.17211582702571115,0.8633464702754836,-1.5279452175033135e-07,1.8221352510978782e-07,S6_D18 hbo,V,False,0.9961529137320693,False
ch_name[S7_D15 hbo]:Condition[V],-4.917347432955883e-08,8.54628068430389e-08,-0.5753786488650074,0.5650352408941774,-2.1667749775961838e-07,1.1833054910050073e-07,S7_D15 hbo,V,False,0.9441133410853934,False
ch_name[S7_D17 hbo]:Condition[V],8.831034168264872e-10,8.546280684303891e-08,0.010333189950669371,0.9917554539930905,-1.6662092001323308e-07,1.6838712684688608e-07,S7_D17 hbo,V,False,0.9961529137320693,False
