index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S8_D20 hbo]:Condition[AV],1.2325205113783298e-08,1.688510466656865e-08,0.7299454375421409,0.4654235368313542,-2.076899190788046e-08,4.541940213544706e-08,S8_D20 hbo,AV,False,0.657542748092627,False
ch_name[S9_D17 hbo]:Condition[AV],-9.05586874801414e-09,1.688510466656865e-08,-0.536322926439665,0.5917353882972856,-4.21500657696779e-08,2.403832827364962e-08,S9_D17 hbo,AV,False,0.7432034911037579,False
ch_name[S9_D19 hbo]:Condition[AV],-3.4461954675710395e-08,1.6885104666568652e-08,-2.0409677852896406,0.04125402925199577,-6.755615169737415e-08,-1.3677576540466295e-09,S9_D19 hbo,AV,True,0.15491308943606574,False
ch_name[S9_D20 hbo]:Condition[AV],-3.476144579764467e-08,1.6885104666568652e-08,-2.0587047865015573,0.039522527426572064,-6.785564281930844e-08,-1.6672487759809026e-09,S9_D20 hbo,AV,True,0.15025956658819337,False
ch_name[S9_D21 hbo]:Condition[AV],-5.012051634598091e-08,1.688510466656865e-08,-2.9683272526711724,0.0029942535527030696,-8.321471336764467e-08,-1.7026319324317152e-08,S9_D21 hbo,AV,True,0.020790288818768484,True
ch_name[S10_D18 hbo]:Condition[V],5.01317510911175e-08,1.688510466656865e-08,2.968992616929105,0.002987777750228437,1.7037554069453744e-08,8.322594811278126e-08,S10_D18 hbo,V,True,0.020790288818768484,True
ch_name[S10_D20 hbo]:Condition[V],2.8656290743280247e-08,1.688510466656865e-08,1.6971343269205634,0.08967126770559732,-4.437906278383512e-09,6.1750487764944e-08,S10_D20 hbo,V,False,0.24086880668364827,False
ch_name[S10_D22 hbo]:Condition[V],3.704537423645251e-08,1.688510466656865e-08,2.1939676992230797,0.02823773175788023,3.951177214788749e-09,7.013957125811627e-08,S10_D22 hbo,V,True,0.11675826165056095,False
ch_name[S10_D30 hbo]:Condition[V],2.6418219059234098e-08,1.0000709569256518e-07,0.2641634463663173,0.7916539764380435,-1.6959208669664447e-07,2.2242852481511265e-07,S10_D30 hbo,V,False,0.8670495932416667,False
ch_name[S11_D19 hbo]:Condition[V],4.9794630656141415e-09,1.6885104666568652e-08,0.29490270649450795,0.768068204362754,-2.8114733956049623e-08,3.807366008727791e-08,S11_D19 hbo,V,False,0.8577627125306769,False
ch_name[S11_D21 hbo]:Condition[V],2.909657013576907e-08,1.6885104666568652e-08,1.7232093439952598,0.08485067459700689,-3.997626885894697e-09,6.219076715743283e-08,S11_D21 hbo,V,False,0.23129665371628544,False
